"Community of Schools","Staff and Student Case Rate"
"Achievement Network Community of Schools","8.1446489656295817"
"Bell/Cudahy/Maywood Community of Schools","8.6091523115573967"
"Boyle Heights Community of Schools","8.0065653836145643"
"Canoga Park/Chatsworth Community of Schools","18.073650124256343"
"Carson Community of Schools","17.514157277132348"
"Cleveland Community of Schools","16.76264100339197"
"Downtown Community of Schools","2.1640103439694442"
"Eagle Rock/Highland Park Community of Schools","6.555585905490303"
"East Los Angeles Community of Schools","19.691984541792134"
"Fairfax Community of Schools","13.994376804956554"
"Fremont Community of Schools","7.2186529993503212"
"Gardena Community of Schools","4.799500851911402"
"Glassell Park/Los Feliz Community of Schools","9.6149737190718358"
"H.E.E.T. (C/D) Community of Schools","12.014898474107895"
"H.E.E.T. (W) Community of Schools","8.7669311357559288"
"Hamilton Community of Schools","2.7613248836791895"
"Harbor City/Lomita Community of Schools","5.7801797635906471"
"Historic Central Avenue Community of Schools","14.259232853272493"
"Hollywood Community of Schools","11.817362660088335"
"Huntington Park/Vernon Community of Schools","9.1378064280314675"
"Jefferson/South Central (West) Community of Schools","9.4811443741259573"
"Kennedy/NAHS/VAAS Community of Schools","6.9094705810097041"
"Kreatwn/PcoUnion Community of Schools","13.646431458173689"
"LA Mid-City Community of Schools","7.5187969924812021"
"Lincoln Heights/El Sereno Community of Schools","9.3319853798895718"
"MacArthur Park Community of Schools","9.4555196596012916"
"Manual Arts/Vermont Square Community of Schools","13.416965753194916"
"Monroe Community of Schools","12.782002939860677"
"North Hollywood/Valley Village Community of Schools","12.073649260488983"
"Panorama City Community of Schools","9.2684132476520027"
"Reseda Community of Schools","7.03135986499789"
"Rivera Community of Schools","8.919449264550865"
"San Fernando Valley/Sylmar Community of Schools","10.519671786240268"
"San Pedro Community of Schools","17.068958592714569"
"South Gate Community of Schools","12.019060816447732"
"South Mid-City Community of Schools","7.64514304062629"
"Sun Valley Community of Schools","7.0146450199917387"
"Sunland/Tujunga Community of Schools","15.402387370042357"
"Taft Community of Schools","20.707396522750262"
"Van Nuys/Valley Glen Community of Schools","15.944589363045543"
"Venice Community of Schools","8.7199162888036277"
"West LA Community of Schools","9.7513408093612863"
"Westchester Community of Schools","16.572754391779913"
"Wilmington Community of Schools","14.598362550333936"
"District Wide","11.158735521719871"
